;;Тема - астрологические созвездия;
;1;"Март
Символизирует собой возрождение природы, освобождение её от зимнего льда. Этот период отлично подходит для того, чтобы начать свою жизнь заново, переосмыслить принятые решения и начать новые дела, но после зимы не стоит стартовать слишком резко. К этому периоду желательно закончить то, что было начато. Происходящее в этот период отразиться на всём следующем году. 
";3_maart.jpg
;2;"Апрель
Апрель – период, когда всё расцветает, появляется первая трава и цветы. Это благоприятное время для созидания и налаживания отношений. Финансовые операции весной лучше не проделывать, а отложить их на более поздний срок. Апрель прекрасный месяц для творческих начинаний: энергия природы в полной мере помогает питать разум для этих целей. 
";5_ aprel.jpg
;3;"Май
Как и все весенние месяцы, май светлый и тёплый, располагающий к романтике и поиску спутника жизни. Встреча такового более чем вероятна, но никаких серьёзных решений по поводу дальнейшей жизни лучше не принимать. Вступать в брак в мае – плохая идея. Не стоит и приобретать каких-либо дорогих вещей, брать кредиты, одалживать или возвращать деньги. 
";n_mai.jpg
;4;"Июнь
Первый месяц лета, начало жаркого сезона и активных огородных работ. Солнце дарит земле энергию, и потому нельзя проводить это время, сложа руки. Июнь – период активного отдыха. В этот период хронические болезни отступают, и выздоровление случается быстрее. Время запастись силами на весь год.
";n_iun.jpg
;5;"Июль
Пик года, который характеризуется опасными явлениями и нестабильной энергетикой. Это время риска и активности, решительных решений и новых знакомств. Красота проявляет себя в полную силу, и ею стоит воспользоваться. Не стоит пренебрегать шансами и пускать ситуацию на самотёк: это может привести к неприятным неожиданным последствиям. Месяц насыщенных отношений.
";n_iul.jpg
;6;"Август
Период, когда необходимо «нагуляться» перед наступлением осени и новых дел. Стоит завершить все свои старые дела, которые тянулись всё это время. Не рекомендуется начинать ничего нового. В целом месяц благоприятен как для завершительного активного отдыха, так и для того, чтобы уйти в себя. В это время можно совершать покупки, о которых давно уже мечтали. 
";6_avgust.jpg
;7;"Сентябрь
Заканчивается сбор урожая и начинаются бытовые дела. Период серьёзных решений, связанных с отношениями. Во второй половине сентября традиционно играют свадьбы. Это время способствует большим разорениям, поэтому нужно быть аккуратными с тратами, не брать кредитов. Можно начинать новые дела, но не стоит забывать и о старых.
";n_sent.jpg
;8;"Октябрь
Время активного творчества и самопознания. Живописная умирающая природа способствует этому как нельзя лучше. Если не упустить свой шанс, то можно подняться по карьерной лестнице. В этот период всё ещё стоит быть осторожным с деньгами, но можно позволить себе небольшие траты на приятные мелочи. 
";n_okt.jpg
;9;"Ноябрь
Ноябрь считается «сумерками года», этот мрачный период лучше всего провести в кругу семьи и избегать различных стрессов. Хорошо даётся работа, но не стоит перенапрягаться. Хорошая работа способствует процветанию. Следует подвести итоги достигнутого за год и приготовиться к зиме. Необходимо завершить все начатые проекты. 
";n_noyab.jpg
;10;"Декабрь
Период увядания и холода. В это время хорошо созерцать, созидать и работать над собой. Необходимо приготовить план дел на следующий год. Это время лучше посвятить семье и работе. Можно смело совершать покупки, особенно, в преддверии праздника. Традиционно все дела перед новым годом завершаются, а новые не начинаются.
";n_dekab.jpg
;11;"Январь
Праздничный месяц, полный различных радостей, и идеальный для времяпровождения с семьёй и друзьями. Месяц укрепления отношений с коллегами и давними знакомыми. Отличный период для творчества. Можно начинать новые дела, делать перестановку в доме, покупать вещи. 
";n_yanvar.jpg
;12;"Февраль
«Самый тёмный час перед рассветом» - это о феврале. Погода нестабильна, характеризуется то сильным холодом, то периодом оттаивания, но потом вновь трещат морозы. Месяц непостоянен, и никаких серьёзных решений принимать нельзя, независимо от того, какой сферы они бы не касались. Не начинайте новых дел, не заводите постоянных отношений – это может подождать до марта. 
";n_fevr.jpg
;;Тема - Звери;
;1;Обезьяна – это очень хитрое и насмешливое животное. Это перевертыш, который может обмануть  вас, используя в своих личных целях. Обезьяна – это умное существо, приглядитесь к миру,  который вас окружает, возможно, в нем скрывается недруг под маской друга.  Хорошо подумайте, прежде чем принять решение, именно обезьяна предупреждает вас о том,  что все не так как вам кажется.;1_as.jpg
;2;Лев – грозное, мощное животное. Он символизирует власть, богатство и успех. Лев сможет достичь успеха во всех делах, ему подвластны карьера, любовные дела, ведь он так мужественен и силен. Царь зверей не позволит мелким недоразумениям и глупым врагам одержать над собой победу, он всегда впереди, у власти. ;2_as.jpeg
;3;Сова – это всем известный символ мудрости. Мудрая птица очень много размышляет, познает себя и окружающий мир. Очень часто на ее пути встречаются трудности, которые она способна преодолеть с гордым достоинством и невозмутимым видом. Сова всегда готова к любым переменам, она берется за новые дела с радостью, горя энтузиазмом и желанием «свернуть горы». Одно из главных ее особенностей – сова видит в темноте.;3_as.jpg
;4;Лягушка – символ спокойствия и терпения. Она всегда поддержит друга и родного человека в любой беде. Своих друзей лягушка никогда не бросает. Но это легкомысленное существо, живущее в болоте, и постоянно квакающее. Лягушка  символ постоянства, но с чрезмерным навязыванием своей персоны.;4_as.jpg
;5;Гусеница – негативный символ. Она олицетворяет собой двуличность и лживость. От общения с подобными может страдать репутация, причем очень серьезно. Лучше не общаться с гусеницей, это не приведет ни к чему хорошему. Доверьтесь интуиции и держитесь от нее подальше. Символ медали, у которой всегда две стороны. Вы можете подружиться с гусеницей, а она обернется бабочкой и упорхнет от  вас.;5_as.jpg
;6;Белый медведь –  хищник, которому белый цвет добавляет красоты и благородства. Символизирует силу, которая может покровительствовать, защищать и одновременно подавлять, доминировать над вами. Медведь – выдающаяся личность, стремящаяся безгранично владеть миром и людьми, но в то же время проявляющая невероятную щедрость. Это очень влиятельный персонаж, конкретный, не терпящий возражений и идущий напролом.;6_as.jpg
;7;Кошка – символ порока. Она лжива, склонна к присвоению себе чужого имущества. Для кошки нет ничего святого, она вероломна и способна предать любого друга. На первый взгляд она доброжелательна и учтива, но под этой личиной скрывается ее истинное коварное лицо. Нельзя доверять кошке никогда. Вряд ли вам удастся избежать предательства с ее стороны, как бы вы ее не любили, это животное всегда гуляет само по себе.;7_as.jpg
